model;rmp;tpm
gpt-3.5-turbo;3;40,000
gpt-3.5-turbo-0301;3;40,000
gpt-3.5-turbo-0613;3;40,000
gpt-3.5-turbo-16k;3;40,000
gpt-3.5-turbo-16k-0613;3;40,000
ada;60;150,000
ada-code-search-code;60;150,000
ada-code-search-text;60;150,000
ada-search-document;60;150,000
ada-search-query;60;150,000
ada-similarity;60;150,000
babbage;60;150,000
babbage-code-search-code;60;150,000
babbage-code-search-text;60;150,000
babbage-search-document;60;150,000
babbage-search-query;60;150,000
babbage-similarity;60;150,000
code-davinci-edit-001;20;150,000
code-search-ada-code-001;60;150,000
code-search-ada-text-001;60;150,000
code-search-babbage-code-001;60;150,000
code-search-babbage-text-001;60;150,000
curie;60;150,000
curie-instruct-beta;60;150,000
curie-search-document;60;150,000
curie-search-query;60;150,000
curie-similarity;60;150,000
davinci;60;150,000
davinci-instruct-beta;60;150,000
davinci-search-document;60;150,000
davinci-search-query;60;150,000
davinci-similarity;60;150,000
text-ada-001;60;150,000
text-babbage-001;60;150,000
text-curie-001;60;150,000
text-davinci-001;60;150,000
text-davinci-002;60;150,000
text-davinci-003;60;150,000
text-davinci-edit-001;20;150,000
text-embedding-ada-002;60;150,000
text-search-ada-doc-001;60;150,000
text-search-ada-query-001;60;150,000
text-search-babbage-doc-001;60;150,000
text-search-babbage-query-001;60;150,000
text-search-curie-doc-001;60;150,000
text-search-curie-query-001;60;150,000
text-search-davinci-doc-001;60;150,000
text-search-davinci-query-001;60;150,000
text-similarity-ada-001;60;150,000
text-similarity-babbage-001;60;150,000
text-similarity-curie-001;60;150,000
text-similarity-davinci-001;60;150,000

